TS_LOAD,SYS_DESC,VEH_SER,OPR_NAME
"2017-03-06 13:05:07","STVMS Tracking Top Station",TUQ327,"Top Station"
"2017-03-06 13:05:14","Cab in white conveyer",TEP325,"CIW upload"
"2017-03-06 13:05:15","STVMS Tracking Top Station",SVP127,"Top Station"
"2017-03-06 13:05:23","STVMS Tracking Top Station",ELJ539,"Top Station"
"2017-03-06 13:05:28","STVMS Tracking Top Station",IFP328,"Top Station"
"2017-03-06 13:05:39","STVMS Tracking Top Station",DKW659,"Top Station"
"2017-03-06 13:05:44","STVMS Tracking Top Station",JPU485,"Top Station"
"2017-03-06 13:05:51","Assembly Line Tracker",JPU485,"Pool 60 Start"
"2017-03-06 13:05:53","Assembly Line Tracker",DKW659,"Pool 60 Start"
"2017-03-06 13:05:54","Assembly Line Tracker",IFP328,"Pool 60 Start"
"2017-03-06 13:05:55","Assembly Line Tracker",ELJ539,"Pool 60 Start"
"2017-03-06 13:05:56","Assembly Line Tracker",SVP127,"Pool 60 Start"
"2017-03-06 13:05:57","Assembly Line Tracker",TUQ327,"Pool 60 Start"
"2017-03-06 13:05:59","Assembly Line Tracker",BIP389,"Pool 60 Start"
"2017-03-06 13:06:00","Assembly Line Tracker",SZP362,"Pool 60 Start"
"2017-03-06 13:06:01","Assembly Line Tracker",QFW209,"Pool 60 Start"
"2017-03-06 13:06:02","Assembly Line Tracker",PRA475,"Pool 60 Start"
"2017-03-06 13:06:03","Assembly Line Tracker",MGF879,"Pool 60 Start"
"2017-03-06 13:06:04","Assembly Line Tracker",CSM507,"Pool 60 Start"
"2017-03-06 13:06:06","Assembly Line Tracker",UHP854,"Pool 60 Start"
"2017-03-06 13:06:07","Assembly Line Tracker",FIX581,"Pool 60 Start"
"2017-03-06 13:06:08","Assembly Line Tracker",PGY640,"Pool 60 Start"
"2017-03-06 13:06:09","Assembly Line Tracker",ZHB578,"Pool 60 Start"
"2017-03-06 13:06:10","Assembly Line Tracker",QJP284,"Pool 60 Start"
"2017-03-06 13:06:11","Assembly Line Tracker",VQD376,"Pool 60 Start"
"2017-03-06 13:06:13","Assembly Line Tracker",HQD748,"Pool 60 Start"
"2017-03-06 13:06:14","Assembly Line Tracker",AMZ845,"Pool 60 Start"
"2017-03-06 13:06:15","Assembly Line Tracker",MVW427,"Pool 60 Start"
"2017-03-06 13:06:16","Assembly Line Tracker",HMJ710,"Pool 60 Start"
"2017-03-06 13:06:18","Assembly Line Tracker",EJO928,"Pool 60 Start"
"2017-03-06 13:06:19","Assembly Line Tracker",IXM739,"Pool 60 Start"
"2017-03-06 13:06:20","Assembly Line Tracker",SOU593,"Pool 60 Start"
"2017-03-06 13:06:21","Assembly Line Tracker",WXK853,"Pool 60 Start"
"2017-03-06 13:06:22","Assembly Line Tracker",YTP390,"Pool 60 Start"
"2017-03-06 13:06:24","Assembly Line Tracker",GYI954,"Pool 60 Start"
