TS_LOAD,SYS_DESC,VEH_SER_NO,OPR_NAME
2017-03-06 11:53:55.000000,U-BOLT,DTP539,Front U-Bolt
2017-03-06 11:54:06.457000,Cab in white conveyer,SNI285,CIW upload
2017-03-06 11:54:53.937000,Cab Conveyer,PEK163,Cab Upload 2
2017-03-06 11:54:53.937000,Cab Conveyor / Monorail,PEK163,Cab Upload
2017-03-06 11:57:39.563000,OMT Offline Tracking,PYH561,Enter Offline
2017-03-06 11:58:42.203000,Hood Conveyor,AMZ845,Hood Upload
2017-03-06 11:59:21.187000,Cab Conveyer,ELI075,Cab Upload 2
2017-03-06 11:59:21.187000,Cab Conveyor / Monorail,ELI075,Cab Upload
2017-03-06 11:59:39.720000,Cab in white conveyer,PMN417,CIW upload
2017-03-06 12:00:47.000000,U-BOLT,IQS845,Front U-Bolt
2017-03-06 12:00:47.093000,OMT Offline Tracking,TNY179,Enter Offline
2017-03-06 12:04:32.817000,Cab Call Scan,BEM390,B Line
2017-03-06 12:04:59.083000,Cab in white conveyer,ZDI213,CIW upload
2017-03-06 12:07:28.050000,Hood Conveyor,HQD748,Hood Upload
2017-03-06 12:07:52.530000,Cab call scan,ETO603,A Line
2017-03-06 12:08:21.000000,U-BOLT,ZYA587,Front U-Bolt
2017-03-06 12:08:52.053000,Cab Conveyer,CXD285,Cab Upload 2
2017-03-06 12:08:52.053000,Cab Conveyor / Monorail,CXD285,Cab Upload
2017-03-06 12:09:43.617000,Hood Conveyor,QJP284,Hood Upload
2017-03-06 12:12:10.000000,STVMS Tracking Chassis Start,SOU593,Chassis Start
2017-03-06 12:12:13.000000,STVMS Tracking Chassis Start,IXM739,Chassis Start
2017-03-06 12:12:15.000000,STVMS Tracking Chassis Start,EJO928,Chassis Start
2017-03-06 12:12:54.773000,Cab in white conveyer,ALE837,CIW upload
2017-03-06 12:13:56.793000,Cab Call Scan,RCF947,B Line
2017-03-06 12:15:22.793000,OMT Offline Tracking,LWK693,Enter Offline
2017-03-06 12:15:37.687465,Paint Inspection,PGY640,PAINT
2017-03-06 12:15:38.000000,U-BOLT,IBA235,Front U-Bolt
2017-03-06 12:15:50.880000,Hood Conveyor,ZHB578,Hood Upload
2017-03-06 12:15:51.510000,Assembly Line Tracker,SOU593,Pool 13 Start
2017-03-06 12:15:52.327000,Assembly Line Tracker,WXK853,Pool 13 Start
2017-03-06 12:18:00.407000,Cab Conveyer,CVE258,Cab Upload 2
2017-03-06 12:18:00.407000,Cab Conveyor / Monorail,CVE258,Cab Upload
2017-03-06 12:20:55.077000,Cab in white conveyer,WQB451,CIW upload
2017-03-06 12:22:51.597000,Cab call scan,ALP937,A Line
2017-03-06 12:24:09.223000,Cab Conveyer,SYB619,Cab Upload 2
2017-03-06 12:24:09.223000,Cab Conveyor / Monorail,SYB619,Cab Upload
2017-03-06 12:24:27.000000,U-BOLT,MBP046,Front U-Bolt
2017-03-06 12:26:33.000000,STVMS Tracking Chassis Start,HMJ710,Chassis Start
2017-03-06 12:26:36.000000,STVMS Tracking Chassis Start,MVW427,Chassis Start
2017-03-06 12:27:45.247000,Hood Conveyor,VQD376,Hood Upload
2017-03-06 12:28:36.290000,Cab Conveyer,BEM390,Cab Upload 2
2017-03-06 12:28:36.290000,Cab Conveyor / Monorail,BEM390,Cab Upload
2017-03-06 12:29:37.210000,OMT Offline Tracking,QVS392,Enter Offline
2017-03-06 12:29:37.210000,OMT Offline Tracking,QVS392,Sold
2017-03-06 12:29:56.327000,Cab in white conveyer,KMA503,CIW upload
2017-03-06 12:30:50.727000,Assembly Line Tracker,HMJ710,Pool 13 Start
2017-03-06 12:30:51.410000,Assembly Line Tracker,EJO928,Pool 13 Start
2017-03-06 12:30:52.120000,Assembly Line Tracker,IXM739,Pool 13 Start
2017-03-06 12:31:23.135962,Paint Inspection,FIX581,PAINT
2017-03-06 12:31:52.000000,U-BOLT,FHL057,Front U-Bolt
2017-03-06 12:32:19.027000,Cab Call Scan,CSD174,B Line
2017-03-06 12:34:31.190000,Cab Conveyer,ETO603,Cab Upload 2
2017-03-06 12:34:31.190000,Cab Conveyor / Monorail,ETO603,Cab Upload
2017-03-06 12:36:01.730000,Cab in white conveyer,KSX968,CIW upload
2017-03-06 12:36:31.000000,STVMS Tracking Chassis Start,AMZ845,Chassis Start
2017-03-06 12:37:07.800000,Cab call scan,TPD286,A Line
2017-03-06 12:39:40.340000,Cab Conveyer,RCF947,Cab Upload 2
2017-03-06 12:39:40.340000,Cab Conveyor / Monorail,RCF947,Cab Upload
2017-03-06 12:39:51.000000,U-BOLT,BRL042,Front U-Bolt
2017-03-06 12:40:25.643000,OMT Offline Tracking,HZD382,Enter Offline
2017-03-06 12:40:51.477000,Assembly Line Tracker,MVW427,Pool 13 Start
2017-03-06 12:43:53.000000,STVMS Tracking Chassis Start,HQD748,Chassis Start
2017-03-06 12:44:01.627000,Cab in white conveyer,TFX540,CIW upload
2017-03-06 12:44:35.237000,OMT Offline Tracking,WDM529,Enter Offline
2017-03-06 12:45:06.620000,Cab Call Scan,JYI091,B Line
2017-03-06 12:45:51.563000,Assembly Line Tracker,AMZ845,Pool 13 Start
2017-03-06 12:46:40.172240,Paint Inspection,CSM507,PAINT
2017-03-06 12:46:57.000000,U-BOLT,LMN504,Front U-Bolt
2017-03-06 12:48:04.000000,STVMS Tracking Top Station,TCS146,Top Station
